Epoch,Val_Loss
0,4.392889499664307
100,2.513190984725952
200,2.4558920860290527
300,2.322903633117676
400,2.167905807495117
500,2.073012590408325
600,1.987892746925354
700,1.9226560592651367
800,1.8698939085006714
900,1.8206042051315308
1000,1.7896634340286255
1100,1.7650961875915527
1200,1.7401472330093384
1300,1.7164894342422485
1400,1.6983493566513062
1500,1.687307596206665
1600,1.6700574159622192
1700,1.654375433921814
1800,1.6541988849639893
1900,1.647057294845581
2000,1.6302809715270996
2100,1.634871006011963
2200,1.6152702569961548
2300,1.6215078830718994
2400,1.6092901229858398
2500,1.609344482421875
2600,1.608594536781311
2700,1.6065621376037598
2800,1.5996251106262207
2900,1.6046435832977295
3000,1.6034889221191406
3100,1.6024212837219238
3200,1.5997799634933472
3300,1.6022595167160034
3400,1.6113500595092773
3500,1.6029263734817505
3600,1.60911226272583
3700,1.6051048040390015
3800,1.6121896505355835
3900,1.6116418838500977
4000,1.6290643215179443
4100,1.6326889991760254
4200,1.629197597503662
4300,1.6342332363128662
4400,1.639549732208252
4500,1.6698498725891113
4600,1.6565791368484497
4700,1.6641660928726196
4800,1.6750739812850952
4900,1.6795721054077148
5000,1.694664716720581
5100,1.691544771194458
5200,1.7071738243103027
5300,1.7181147336959839
5400,1.7239569425582886
5500,1.74088454246521
5600,1.7631475925445557
5700,1.7568364143371582
5800,1.7602728605270386
5900,1.7754379510879517
6000,1.7929489612579346
6100,1.7989068031311035
6200,1.807987928390503
6300,1.8135071992874146
6400,1.8410013914108276
6500,1.8348867893218994
6600,1.8464661836624146
6700,1.8665601015090942
6800,1.8873300552368164
6900,1.893324851989746
7000,1.9258276224136353
7100,1.9319548606872559
7200,1.9440830945968628
7300,1.9603880643844604
7400,1.9746540784835815
7500,1.979132890701294
7600,1.9842225313186646
7700,1.9999161958694458
7800,2.0119807720184326
7900,2.0257904529571533
8000,2.0495619773864746
8100,2.0624704360961914
8200,2.061182737350464
8300,2.0742387771606445
8400,2.0965373516082764
8500,2.103461503982544
8600,2.1313185691833496
8700,2.145134687423706
8800,2.1341640949249268
8900,2.1694998741149902
9000,2.1604158878326416
9100,2.1954193115234375
9200,2.1959025859832764
9300,2.215350866317749
9400,2.2240042686462402
9500,2.2662692070007324
9600,2.2574851512908936
9700,2.2690324783325195
9800,2.2853832244873047
9900,2.3182921409606934
